id,bio
4945968,Love to work with Web Apps and New things
12784593,Year 1 Computer Science student at the National University of Singapore ????
1691872,???? Sometimes I also use Codepen ????  https://codepen.io/dgdavid/pens/public/
513457,Professional keyboard breaker
6838651,"ML, NLP"
15367082,"Java, PHP,  Ext JS Developer"
576375,"Co-founder & techie at Equaleyes. Interested in the digital economy, Python, Java, cloud and solution architecture."
34126648,Estudante de Ci??ncia da Computa????o - UFBA
5874468,Software Developer
25560169,"I'm an Operations Manager at Cohere Technology Group, Website Manager at DB4 Consulting, & Front End Web Development Student at Treehouse. "
33738268,Nase Hiroomi NC fans
30316407,I am a South African developer who usually does website back-ends using Node.js as my primary programming language.
29485908,Studying Computer Science at UNAM 
3941923,Product Developer
16635696,Thirsty Rockstar
18637446,Computer Engineering student at the University of Toronto. Developer with a passion for learning and coding.
12596466,PHP Engineer
1752493,Technologist and problem solver
1625302,iOS. Web.
23445872,Study at TU Dresden
19247987,"I'm a student, a GNU lover, and a Programmer. "
106020,Full Time Technologist
10573413,Computer Science Student at Brunel University London ??? Writer of Letters ??? Curious Creature ??? Selfie Taker ??? Tea Drinker ??? Book Reader ??? Blogger
24978714,???????????????~
33517942,Member of Open Source group @zense
16002112,"Multidisciplinary Creative at BCG Digital Ventures (@BCGDV). Love traveling, surfing, motorcycles, and constantly learning."
1116432,"Full-time Java, JavaScript, NodeJS developer. "
29343437,I'm a graduate student studying cognitive neuroscience.
26122085,Interaction Design student
10907203,just a student
5012822,Senior Web and Mobile Developer over 4 years experienced.
21278861,Fan of Mikasa Ackerman and Computer Science
16000104,"Engeneering student at ESTEI - Bordeaux, specialized in embeded systems."
246519,"Lucaro; Computer Scientist, Inventor, Hacker, Geek"
12251731,"I like to study creating projects, I love open source and I'm trying to learn the most I can "
1675472,Bonafide nerd
6725579,Software Engineer
27548710,??????????????????????????????????????????
9931559,"self learning, intermediate with Pascal/freepascal,Lazarus
Beginner with PHP, ASM,"
1683998,Director of Products @swishlabsco. Building technology for the future.
1324420,Just a human being living on earth.
25300309,coder coder and coder
16129027,Web????????? (Web Mirage)
8512862,dev at @CC-Mkt .
12113291,A Fake Developer
7592136,"""Let's go invent tomorrow instead of worrying about what happened yesterday."" - Steve Jobs"
13315992,"CTO, co-founder @ KloudTrader"
17849012,He is looks like a dog.
17486001,?????????
16925318,Postdoc at Memorial Sloan Kettering Cancer Center in NYC
10794467,"Master student at Cornell University.
Interested in machine learning and quantitative finance."
7668308,Linux | DevOps | AWS Certified Solutions Architect | Sysadmin | Cloud Architect | SRE
4739848,Happy Data Scientist @dataiku 
13762951,Do what you feel like.
3397779,xyzw
3498692,Full Stack Developer ( Web / Android and iOS Developer )
11139636,"Wazzup, World?"
25041447,Learning to Learn
732422,Frontend Engineer @loggi.
22170957,Passionate programmer
1464783,Freelance FullStack developer.
15628617,I'm a multilingual philosopher and recently fell in love with coding. Thanks to the @RailsGirlsBerlin I am a web developer now.
3530500,"dreamer, explorer, optimistic --- CODER"
17870991,"Hi guys :blush:, i'am learn to build web and mobile apps "
1088240,"Software Architect @awarethree. Creative tech enthusiast. Comedic actor. My hammers: Laravel, Craftsman, and 3D printed. http://slides.com/scottconnerly"
31750005,MS in Robotics Candidate
1133351,iOS Developer ???????????????
6275408,"//      ?????? ????????????????????? ??????  
//      ????????????????????? ???  
//      ???????????????????????????  
//      ???????????????  ????????????  
//      ????????????????????? ???  
//      ???????????????????????????  
//      ????????????????????? ???  
//     "
10616520,Supply Chain and Business Analytics Professional with experience in project management and financial analysis.
6059775,android programmer in shanghai
28710616,"Artista por dentro, programador por fuera."
13144,Data Engineer @ AdRoll
2185212,"Data Engineer by day, Ruby/Ruby on Rails instructor by night. "
6024487,"Game developer working on multiple projects of different styles.  Most of my public projects are just learning experiences.

Current at Playtika - Montreal "
1942529,"JS, i18n, NLP, ML, L10n, Typography, Keymaps, Tools and libraries

Alum: Twitter, Wikimedia"
1546093,Chief Operating Officer
8967104,I'm currently an IT technician. I'm just beginning my first steps into code. I hope to learn a lot and become very skilled with this for a future career.
24810600,"still alive/
may'18"
1775815,"I rock Data Science for Public Good. Was Summer Fellow at Social Decision Analytics Lab '17, Ballston VA. Passionate about history, literature, social sciences!"
18159824,JAVA is the language...
30489601,"Studying Computing and Information Systems at Sabaragamuwa University of Sri Lanka. Also a Filmmaker, Youtuber and a videographer."
7025643,"Research Interests: Ubiquitous Computing, Software Engineering, Machine Learning, Human Computer Interaction, Discrete Mathematics"
26207661,Developer at Nesells.co.uk. I have experience with PHP and in particular Laravel.
15876217,Computer Science student at FCT - UNESP
5488453,Engineer
16077295,?????????????????????????????????
5751209,Frontend developer
3283249,"We pray to Allaah subhanahu wa ta???ala that all of you are doing well and I hope you are in an ardent state of emaan and excellent health.
"
4518980,"Game developer, 
Cofounder of Supyrb,
Student at HAW Hamburg "
20929315,::::
31082172,I am currently attending UNC Chapel Hill's Coding Bootcamp with aspirations of becoming a full stack web developer
2625934,I love it!
5245264,An enthusiastic self-motivated UX/UI Designer & Full Stack Developer
201920,https://twitter.com/kizb1tz
25842079,"Math.pow(1.01, 365);"
6932545,Foo ?
10124203,coder. gamer. Founder and lead designer for @VirtexEdgeDesign 
18407166,"Aspiring Web Developer. Interested in gaming, longboarding and travelling."
26390295,Full stack developer; Go enthusiast.
243668,"Instead of wondering when your next vacation is, maybe you should set up a life you don't need to escape from."
219061,"???? Programmer, writer, speaker and musician. Perfectionist and Buddha follower."
13574207,"The prize is the pleasure of finding the thing out, the kick in the discovery, the observation that other people use it. ~ Feynman"
3997084,Software Developer @SmartOSC
29096723,Currently a full-time student. Hobbies outside of the classroom are improving my skills as an independent developer and acting on my passion for the outdoors.
15555368,"Ph.D. in Electronics, 
Assistant Prof.,
Python and Embedded uC programmer
Signal and Image Proccesing"
29032634,An Electronics Engineer who is crazy about coding..
21309496,L???homme qui sait r??f??chir est celui qui a la force illimit??e.
6595450,Current Computer Programmer Student at Algonquin College
6433913,Tech Talent Seeker + People Connector + Wannabe Comedian + Extreme Observer + Coffee Guzzler
15630886,"A true code lover, found myself on programming when started web developing and totally into learning new tecnologies"
5175751,????????????????????????????????????????????????
7783837,"Full Stack Developer. Mathematics Student @ University of Waterloo
"
26037040,USTC
19244804,"Web developer experienced in backend and frontend technologies.

Skills: React.js/Redux, Node.js, Express, MongoDB, SQL, SASS, CSS, HTML, Git"
12586921,Android and Web Developer. 
141354,"Ex-@google'r, future CS PhD"
22084363,"if it doesn't challenge you...
it wont change you. 
"
16532111,"Analyst-programmer - FOSS & GNU/Linux enthusiast, love to code and new technologies, as well as, Japan, Anime, Music, Photography, Scuba-Diving..."
14980927,Diving deep into the wonderful world of Android day by day.
14956746,M.Sc student at UCL - Computer Science. 
26782843,Android Developer
29882833,Computer Science rising junior at Rice University.
2353186,plant-powered javascripter ????
24789102,Just a guy who is passionate about Computer Vision
15731884,"Student web developer living on the french mountains.
Like all ""cool"" developers I enjoy beers and clean code.
In love with knowledge <3"
20021170,"I'm from Oaxaca, Mexico. I am a computer engineering student. In my free time, I like to make music, play videogames and programming."
14266256,Full Stack Web Development
3617684,Full Stack JavaScript Developer
2623954,"Former accountant, current data scientist. Always learning.  "
8565261,I am a programer.
19502532,"Second Year CSE Undergrad, IIT Indore."
29229093,Hi! I am a Freshman Computer Science Major from Jamaica attending Howard University. Intern @google
31816972,I am currently a student at WeThinkCode_
4573756,My Purpose Is To Help Other Engineers Stabilize Their Career Through Finding the Best People to Work With
838980,DevOps & Full Stack engineer
972446,Backend web development student at @turingschool
3737155,#Web and Android Develop#
13571699,"fight for life , more hope"
6843530,Front-End Engineer @liferay 
5709753,"Entrepreneur, Tech Enthusiast, Learner, Autodidact
Owner of @technavneet"
14980,"Software developer and musician. 
Currently specialising in audio applications using the JUCE C++ framework and mobile development with React Native. "
24324183,"currently - iOS Developer at OK.RU 
previous  - iOS Developer at Yandex.Money
--
http://linkedin.com/https://ru.linkedin.com/in/igor-dudenkov-ab4439104"
167320,about:blank
7094373,Providing full-time remote software development for full-stack and backend web projects. Contact me at isometimescode.com.
1563756,Passionate Mobile Apps Developer . CTO of SADORA
16166541,Android Engineer for the RedBrick Health app. Expertise in Java. Currently learning Kotlin since it has become the supported language for Android.
4079958,Gnuviophile - #gnu #linux #freesoftware #python #django -- GPG: 0xD20254F6
6027893,"I'm a Full-stack developer in South Florida.
I write clean and reusable code, I focus on the user
and I am a persistent problem-solver"
706206,"coffee, books, machine learning, deep learning ????"
23513040,Enthusiastic software developer focused on web technologies with strong bases on Windows desktop applications. 
32643701,Love to contribute :smiley: 
150943,Food driven engineer.
1567767,Love to build things people use.
554408,"Web Designer. Open Source enthusiast. I like to create, build and tweak stuff."
31983451,a leisurely ghost
5065720,??????????????????
4321192,"Software Engineer, 
Loves coding and developing solutions "
1727735,"Matem??tico Computacional por forma????o, T??cnico em TI por profiss??o e M??sico por paix??o. Freelancer, palmeirense, rocker e pai."
6378532,"Final Year Student @ IIIT Allahabad.
Software Engineering."
16986112,Just a simple dumb guy who has a dream to be a greatest software developer ever :D 
13545820,"MSc. Machine Learning student at UCL (London).  Interested in Deep Learning, NLP and Speech Recognition. "
22036533,Computer Science and Mathematics student at Tufts University (Class of 2019). Studying compilers and language design.
15935699,I like building things with words. reader/writer/coder
974367,"I'm iOS app engineer using Swift.
Previously I used C#/ASP.NET MVC5, JavaScript, Objective-C, Java.
Former is ps3/xbox360 game programmer."
17451375,A new developer
8635451,???????????????????????????????????????
5868353,"CMU.register(this);
while(!assignments.isEmpty()) {
     drinkSoylent();
     waitUntilDue(assignments.poll());     
}"
13461705,Computer Science master student at UT Dallas.
10582060,"I am a full time student at Green River College, working towards my BAS in Software Development.  My anticipated grad date is June 2018."
12897030,"Master's degree candidate in Applied Computing on National Institute for Space Research; Data Base Technologist.

Music lover and Amateur cook
"
24692131,Blockhain Developer
17714028,Programador com foco em Java e Javascript. Sempre pronto para um novo desafio.
7645599,Pipeline Technical Director @ Tau Films
7057762,Computer Scientist
25702755,Undergraduate in SJTU
29938408,hello.
1611092,A software engineer on the softer side of software development.
214463,Software developer
20305449,Keep improving yourself
34716943,"IT'S NOT YOUR JOB TO LIKE ME ,  IT'S MINE"
13890995,Computer Science of Texas A&M University
20147544,??????????????????????????????????????????????????????
26833564,biubiubiu
17809784,"Bo??azi??i University, engineer, mountaineer"
3415671,Software Developer focused on architecture reactive and responsive applications.
34815179,Programmer | Developer | Designer | Tech Enthusiast | Open Source Advocate | Musician | Artist
15609277,??????????????????????????????????????????
289706,"Founder of @Atc-it, CTO / Adviser for Tech Teams "
33824541,"I am a full-stack web developer and graduate of V School in Salt Lake City, Utah."
10602560,Computer Science student on the Vienna University.
15170378,"Computer Science student at EPITA, French engineering school"
24272608,Programmer / Developer
7795928,"Front-end developer in Denver, Colorado."
25856014,"????????????,????????????"
9219492,"Student in Birla Institute of Technology and Science, Pilani
Research Intern at @malllabiisc  "
2075801,Creator Wannabie ???? 
958486,Angular Developer.
13635723,ML Enthusiast & Part-Time Philosopher 
2877128,2012/11/24 ???
6759289,"Current interests: Machine Learning, Computer Vision
"
19849567,Enjoy coding and swimming
3538449,Passionate about data science and software engineering ???? Open to collaboration. Email me via Lianghao.zhao@gmail.com
23507207,Pretending to be serious since 2015
10336980,"Laravel PHP Backend developer. Developing web with Laravel, Lumen, Codeigniter, JQuery, and More."
10484248,"Talk is cheap, show me the code. "
3895461,Don't stop the beat.
12095599,?????????????????????
26641533,"Web developer.

I like to make awesome things, whether on my own or as part of a team, that help improve peoples' lives."
6951312,Cloud Developer @TrendMicro
9163278,Senior Undergrads @THU / Research Intern @BDD ???? 
17892303,Domesticated Developer
32661586,"give me one million dollar and i will teach you man, i promise. bukan cuma saya ngajarin saya ajak antum beli pulau terus kita dansa hawai pake rumbai-rumbai"
31292269,"iMTech Student at IIIT Bangalore, Member of @zense"
2746541,"Every person is a contributor to your journey, open minds and be kind"
5634123,"Front-end Developer
Illustrator"
13040818,"Associate Software Engineer Intern at @capitalone | CS x Applied Mathematics @ Vanderbilt | Adviser, former President, former Director of Sponsorship @VandyHack"
18539242,"Galvanize Alumni, Full-Stack Engineer, and a curious mind to learn anything and everything development."
15371515,"No, that is not a dead dog. "
311885,"Apo Pantos Kakodaimonos! (Crowley, Rite of the Star Ruby).

I am the secret lover of hfiref0x (don't tell!)"
20244622,"Graduate Software Engineer at Rentalcars.com. Dobedo
"
30227037,"Full-stack web developer.
currently main fields: C#, Object Oriented Programming, ADO, MS SQL, HTML5, CSS3, JavaScript, Ajax, ASP.Net MVC,Web API, Angular 2+."
15260914,"try try try, if you can ..."
20307949,University student. HPC Programmer.
20216358,~beep boop~
7859647,I have 6+ yrs experience in Android Development. Expert in agile and waterfall project management methodologies. Experience of working in complete SDLC.
26434195,"I liked to see u reading my bio! I'm just a web developer passionate about JavaScript. I like functional programming, Vue and React for develop web apps!"
12484267,"Hey there!
I'm 18 and I'm from Bologna, Italy.


Node.js, PHP, Python Java, C#, C++, CSS, HTML, jQuery"
4138285,"???? Husband & Dad
????  Enemy of php 
????  Front End Developer @Code-Debug 
???  JavaScript, NodeJS
???   Web Performance and OpenSource"
5965718,"VP Engineering @Fr8Network
https://fr8.network 

"
4313430,"Interface designer, front-end developer."
25335864,HTHS Class of 2019
28064971,Robotics and Machine learning Enthusiast.
3819893,Software Engineer @algolia. Software craftsmanship enthusiast along with web ergonomics and lean methodologies.
910974,Front-end developer
8341299,Some sort of developer in training.
536973,`Null is null or not an object` - IE8 (the brave one)
15794670,Me dedico al desarrollo de software y aprender de todo un poco.
1618736,Backend (Node / Python / Go) / Blockchain / Deep Learning (NLP) / Design
25048424,"Strategic, multidisciplinary Data Analyst with an eye for innovation and analytical perfection. "
10174999,"Assalamu Alaikum,
Hi, here's a MEAN Stack Developer who Love to develop Apps either Web or  Desktop or any other.. 

thanks for reading :)"
2930846,UX/UI design / Front
14972076,"QE
@IndonesiaSoftwareQualityAssurance 
@traveloka "
15888598,C++ is the best great program :)
26589274,Bachelor of IT (Mobile Apps)
12765404,"iOS / Web Developer 
HCI, UI/UX"
15857936,Java Developer
10861554,"telegram.me/y1mb3as7
Crawler Den & Malware fist & code spelunker
2pac
bitcoin support for DDG & privacy 
39i3mdKut5wsUFrev4qJGuboaKQNwLU6"
12704929,"Student at Federal Institute of Para??ba (IFPB), Campus Cajazeiras

Cultural Consultant at Centro Cultural Banco do Nordeste - Sousa
"
1538572,Author of www.TGRStack.com . Follow on twitter/medium for weekly articles on Typescript ????GraphQL ????React  ???? Linux ????and other nerdy stuff!
1296172,Coding is a kind of life attitude.
4095859,Swift Developer
15188975,Done is better than perfect
897086,good repos you better believe it
20447092,J'aime apprendre surtout les nouvelles technologies pour ne pas ??tre d??pass?? plus tard !
17105269,Makers Academy Fellowship Grad. Software Dev
20898343,Computer science student at the Coll??ge de Bois-de-Boulogne
22668132,"this is a COLLABORATION and not done solely by me
michael.k.rosol@gmail.com"
11851029,<Practice makes Progress />
26178825,"Analista de Sistemas JR na @Netshoes,
T??cnica de Inform??tica pela @ETEC,
Estudante de An??lise e Desenvolvimento de Sistemas na @FIAP.
"
2231664,"programmer, musician, hardware hacker, nak muay"
8246964,Web Developer
24492416,?????????????????????
16726491,"I love to solve problems with code.
Software developer at Mindera"
6486768,Constant dripping wears away a stone.
13707620,Postgraduate student at the University of Cape Town. Enthusiastic about electronics and programming. Always trying to git gud.
5385681,iOS / Android
3403648,"Android AOSP & Linux Kernel Developer.
Programming Language design-Contribute.
Turkey Java User Group(Turkey JUG) Vice Chairman.
"
13101885,"Helli3 | 
Studying Information Technology @ AmirKabir University of Technology "
8551514,Front-end Developer starting to get into the MEAN stack.
14955105,"good good study, day day up"
29255982,"I am a graphic designer, webdesigner and front-end developer."
20080282,Software Engineering Senior Student at Universidad Aut??noma de Quer??taro
8498767,"Data scientist at Land O' Lakes Inc.
"
344790,Product designer. Makes things in fits and starts.
5029635,CATCH fish
25725545,"Technologist in Systems Analysis and Development. 
I like web and mobile development."
20192787,"*Photographer
*Web Developer in process"
12477629,still learning .......
25237223,A new web developer who just graduated and learned amazing new things in a six-month full stack coding intensive with UNC-Charlotte.
4019576,Why so serious?
7696145,04e86b881f1329d19771c13c9ef7e5f4a708e31612067fdaab3250a6a8153987565bb8402711b4a5c6f50ecf2e52ac5b8894cc68e06713a99768c80211d4561621
20666235," Computer Science and Engineering Graduate. 

""The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge, so keep learning"""
16259856,I am into VueJs and always look for lovely UI / UX 
13707992,what do i write here
11913223,"???
???
@chyuaner??????????????????"
15162764,"Professional translator, software engineering intern, engineering student at UC Irvine."
11473995,"Civic Tech Entrepreneur. Co-founder @OpenSourcepol, @DemocracyEarth and @OpenDemocracyNow"
101457,(This is not my CV. It's a GitHub account.)
20859279,Currently a second year information science engineering student at PESIT. 
33171782,creative short-stack developer 
6298126,Inspired and innovative software engineer. 
11528307,Economics Major from University of Georgia. Recently completed Full-Stack Development bootcamp.
23158273,"University of Illinois at Urbana-Champaign
Studying Astronomy and Chemistry"
20612838,????????????CEO ???????????????????????????
24634418,"Need Help? Contact as

Whatsapp or Phone:- +91 9597864490
Email :- vm.techsoft@gmail.com
or G+ :- Google.com/+VimalME"
18740432,"Brace yourself, It's time for a code merge."
19323474,take it and get!
19662959,a simple coder. 
23143215,"I??m a Spanish Senior sysadmin, using Linux since 1997 that I started with SUSE 5.1 - I love learning new things every day."
16546209,Enthusiastic 2000 boy
4168984,Deep Learning R&D Engineer
2231394,A programmer who focus on iOS/macOS now
25511437,"curious to learn,"
25167906,Android developer and co-founder of @007 Studios. Writes Java and XML.
5352791,Software Engineer
2681868,iOS Dev.
16730010,Aspiring Data Scientist
6765330,Everything is possible if you believe. Software Engineer with passion. 
10877466,Front End Developer & Designer.
3194321,"I make games, web apps and other fun stuff"
24989956,A computer science student at the University of Toronto Scarborough campus
25034233,"18+ years of experience, solid knowledge in Computer Architecture, C/C++, Java and Unix-like systems."
16263307,"?????? ??? (Riku Saitou), NIT Sendai Hirose IS3, 
???26-28??????????????????, kosen15s Twitter:@alltekito"
5457884,"Software Engineer || PHP (Laravel) || Javascript (Node, Expressjs, Angular, React) || Ionic"
9985402,@developer
879832,"Agilista entusiasta apaixonado, Pesquisador, Dev/Business por amor, AppleFanboy, Black belt karat??, Explorador aventureiro de minecraft!"
10794101,"Member of Technical Staff at Nutanix, Bangalore"
5421147,Life-long student and entrepreneur ??? Worked @Bridgewater Associates ??? Studied at @Georgetown University ??? Photographer and Drone lover
6547952,???? P < NP  ????
15339635,Berdoa dan berusaha || All is well 
27468560,??????????????????????????????
5917783,"Software Engineer, Web/UI Developer. Entrepreneur, A Karachist, UBITIAN"
16845851,Computer Science student at Santa Catarina's State University. Python <3 IOT <3 Fab Lab <3
12969853,"Web Developer and Designer based in Kochi.
Lover of Comics, Food and Movies.
A connoisseur of music."
20592158,???????????????????????????bug
10623241,Software Developer | 18
17413056,Foo-Bar 4 life! 
21248918,"Brazil-based developer, mostly focused on frontend projects using React."
9464703,Developer at BNNVARA
32463,Well rounded weirdo
2385738,:coffee: :octocat: :repeat:
23189295,"Wannabe flimsy frontender.

Hacking together barely legible, partially functioning, astonishingly unperformant code since 2016. "
13337778,"Currently a year 1 student in Computing @ Plymouth University.
Team member for Radiant.Dj
Promoter for https://www.plug.dj/"
26607946,Student at 42 Paris
5089357,"Stay hungry,Stay foolish."
18415464,Wuhan University
15273162,Full-Stack Web Developer and General-Purpose Computer Nerd
16354917,Fullstack and lover of beautiful stuff
11994085,I love Software Development and curious about Machine Learning.
4789914,Full Stack JavaScript Developer
6812054,"Cognitive Scientist, Mathematical Psychologist"
23075936,One of my most productive days was throwing away 1000 lines of code!
16180171,Software Engineering at Mississippi State
8080585,MS. in Statistics at UIUC
7579686,CSE grad student @ IIT Bombay
34809845,Hobbyist developer.
14000274,blank
26806428,"??????????? Junior Coder- Learning WebDev and Microprocessors. 
???????Senior Audio Engineer.  ???? Poi Spinner. ????Cat Mama.  ???????????

Ruby/Rails / Python / JS / CSS3"
22744443,"I am a Java Programmer from Beijing,China!Open source is a attitude to me."
412397,I code stuff :D
3045926,Having a blast building a next generation code development company: Buink Web Development.
17471931,"Software engineer @sky-uk - I write Javascript, Java, Scala, Python, C/#/++. I use Kubernetes & Docker to create microservices for personal and work."
11026203,Hi! I am tech enthusiast and l like to delve into new and cool features of open source projects. 
15239272,Fourth-year computer systems student in the University of Limerick.
842613,Software engineer @vinco
15848431,Trying not to procrastinate the good things in life ;)
33415223,"Front-end Web Developer ?? HTML, CSS & JS ?? Adalaber ?? I love write code, I'm a creative person ?? Thank's @Adalab for making me a great profesional"
16292810,"I'm the lazy programmer Bill Gates is looking for 
(https://goo.gl/3HPEhL)
"
18317264,Broadcast Journalism + CS. AU '18 Grad. Seeking full-time position in August. ??? | Former intern @USATODAY & @natgeosociety 
11909942,"Full Stack Developer, Android fan boy."
20987775,"talk is cheap, show me your code!"
23666482,Studying languages.
23050772,Web and Mobile Development Company
18012563,I love keep learning and working 
15913938,{Full.Stack.Programmer}
12409028,Social Media Editor | Python | SEO | Machine Learning Beginner
6158206,Ph.D. student in CS at Chinese Academy of Sciences. Research interest: transfer learning.
3278934,Computer Engineering student at Bo??azi??i University. 
4075558,FED
16030739,DigitalHR
22241247,"Adventurer, technologist, creator, developer, teacher, cat mama. Working at @georgiatech + @trilogyedu. ?????????????????????????????"
6852461,????????????
30227142,UCL Computer Science Student
10108943,Software Engineer
52906,"Programmer, Maker, Gamer"
16450350,ECE Master Candidate 2018
10748516,Love python despite it's flaws (GIL I'm looking at you) but also am passionate about most every language I use.
928641,Mrtn9 on Twitter. https://twitter.com/Mrtn9
17710020,"IT engineering student, intersted by machine learning algorithm and BigData problematic. I actively participate to Machine Learning competition in Kaggle ???? "
12196171,"System Engineer, PowerShell Developer, WinOps and a huge automation fan!"
12397914,FullStack Developer
22139388,I am currently a sophomore at Purdue University studying computer science.
26872998,Everything will get better.
9812808,"All or nothing, now or never."
28541278,"Full Stack Web Developer, specializing in backend development and database management,  with a background in management, customer service and natural sciences. "
3467748,Founder of PeachDish.com - Best Quality Meal kit Company
11626360,"Hadoop,spark,bigdata
java,python,coding"
10591320,Global executive with multi-disciplinary experience in the software and consumer electronics industries.   
11486797,Computer Science Undergrad at BITS-Pilani 
5887929,"????????????????????? floating in parallel universe ????????
??????? & decentralized technology
ssb://@NaDXehMSIgk08W5RXZJ0p+7m+19iIWEuAtD7FRESJX8=.ed25519"
9590275,Mad about Go (commonly net/http pkg) and Swift
14896749,I am a Junior Developer ready to enter major leagues. My professional ambition is to stay versatile and be able to fill different roles within a product group.
14362105,"4th year Software Engineering student looking for graduate work in Edinburgh. I have experience with PHP Laravel, Java and C# with an interest in micro services"
13312568,"Programmer, developer and an open-source lover"
22511595,"Dosen Program Studi Teknik Informatika, Fakultas Teknik Universitas Lampung
Ketua Prodi Teknik Informatika Fakultas Teknik Universitas Lampung
"
28195182,"I am undergraduate  student at Indian Institute of Technology, Indore, India."
4060571,"run. coffee. code. and more coffee.

mostly Javascript, Salesforce and Heroku"
7316524,Full-Stack Developer at Virtus
21023831,3rd year at the University of Southern California studying Computer Science
4581211,...there is no spoon.
25803607,"I am Passionate in Learning Programming and new languages.
Eat>Sleep>Code>Repeat.
"
22068535,Knowledge is everything !
9474899,Code Rambler
7796024,"Lover of the latest and greatest tech. Particularly interested in Full-Stack Software Dev & Cloud DevOps. Favs: Python, Django, React, Docker, AWS ???????"
2675341,a na??ve guy that still doesn't know much
980844,Ciao! I'm an italian student at the University of Bologna with a passion for Web and Android development.
848537,"UI/UX, front-end, wordpress, design."
33661599,"English Teacher
Coding student."
134828,Bugue??o ???????? in Quito ???????? / Web Developer / @emamut_net
26502919,DevOps and Linux enthusiast
16738516,Geomatics Student @UWaterloo
18698939,"a student, front end"
31494938,"Student at the University of Pittsburgh and
Upcoming Software Developer"
6396974,"Code for work and pleasure. ""I've learned so much along the way that I am already ashamed of the code base."""
5432718,Pursuing Masters in Computer Science at Northeastern University
6357330,"Student, full-stack dev, hackathon addict and a geek at heart."
7237575,"Runner, Caffeine Addict, Coder
#juniordevforlife
"
14290821,"Studying Masters in Computer Science at Northeastern University,Boston"
19416864,"Interessado no que h?? de novo no mundo do desenvolvimento. Crente que o mundo ser?? mudado um programa por vez. Adoro Rock, Futebol e Cerveja."
17052952,I am an aspiring Web Developer and a recent graduate from the Minnesota School of Business where I earned a Bachelor???s degree in Software Development.
11407759,"Front-end developer senior at XP Investimentos
"
1267787,"Play With Data @BisPhone
M.S student @AmirKabirUniversity
Interested in Scala, FP and Big Data"
16230910,"Programmer, Competitive Programming Freak and ML enthusiast"
430431,UI Developer / Hybrid Mobile Application developer
683736,"R, Python"
14117551,"Hate your pride or you will live under promises
"
15119673,Simple is better~
